epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1012.71,1.71241,3.0148,1.7911,0.52617,0.30623,0.277,0.11794,1.88537,3.23241,2.05108,0.00032963,0.00032963,0.00032963
2,1347.16,1.60692,2.30479,1.6836,0.42377,0.26651,0.22715,0.08716,2.25743,3.25417,2.5431,0.000641085,0.000641085,0.000641085
3,1679.83,1.61836,2.17097,1.6946,0.51446,0.42249,0.3888,0.16117,1.88598,3.06309,2.15701,0.000930541,0.000930541,0.000930541
4,2011.63,1.62627,2.05123,1.685,0.67928,0.42191,0.43416,0.17689,1.80812,3.54617,2.03535,0.000901,0.000901,0.000901
5,2340.56,1.53182,1.93084,1.63819,0.35219,0.5312,0.44193,0.20366,1.83462,2.09396,1.99462,0.000868,0.000868,0.000868
6,5480.24,1.51923,1.82558,1.6077,0.59738,0.46455,0.52736,0.23618,1.77968,2.25264,1.93732,0.000835,0.000835,0.000835
7,6028.48,1.5167,1.75505,1.59134,0.50963,0.5141,0.48957,0.21983,1.77515,2.08874,1.96654,0.000802,0.000802,0.000802
8,6855.38,1.51004,1.73455,1.59838,0.67887,0.52425,0.59822,0.26354,1.70657,1.89112,1.88355,0.000769,0.000769,0.000769
9,7522.12,1.46571,1.67076,1.56355,0.69302,0.51236,0.59641,0.3009,1.60775,1.7478,1.77102,0.000736,0.000736,0.000736
10,8178.53,1.44516,1.62179,1.54727,0.47914,0.58512,0.57665,0.26869,1.67708,1.85692,1.92731,0.000703,0.000703,0.000703
11,8831.79,1.44627,1.60281,1.54684,0.67609,0.54048,0.66578,0.32083,1.60378,1.7017,1.80039,0.00067,0.00067,0.00067
12,9486.75,1.42352,1.55453,1.53509,0.66306,0.50256,0.5766,0.27583,1.67502,1.77351,1.83078,0.000637,0.000637,0.000637
13,10138.3,1.40868,1.54526,1.52931,0.66078,0.52762,0.60816,0.31207,1.57635,1.75234,1.76984,0.000604,0.000604,0.000604
14,10794.2,1.40115,1.49456,1.51718,0.6945,0.5853,0.66683,0.3348,1.59936,1.58348,1.76357,0.000571,0.000571,0.000571
15,11445.3,1.40701,1.49558,1.51231,0.57041,0.65245,0.66723,0.33629,1.57767,1.53576,1.75655,0.000538,0.000538,0.000538
16,12102.8,1.37457,1.44212,1.5034,0.58893,0.65025,0.68211,0.32689,1.61977,1.55804,1.81561,0.000505,0.000505,0.000505
17,12749.1,1.34678,1.43756,1.48006,0.61491,0.62514,0.69368,0.34853,1.54288,1.53713,1.7615,0.000472,0.000472,0.000472
18,13396,1.3669,1.44265,1.48824,0.77402,0.54172,0.6318,0.31638,1.62021,1.60743,1.76269,0.000439,0.000439,0.000439
19,14044.3,1.34436,1.39472,1.48185,0.56592,0.67593,0.6921,0.35202,1.53188,1.56266,1.73504,0.000406,0.000406,0.000406
20,14489.5,1.31995,1.36903,1.46924,0.66611,0.60224,0.6555,0.33201,1.57289,1.52421,1.77377,0.000373,0.000373,0.000373
21,14819.2,1.3835,1.41387,1.5648,0.64557,0.63643,0.70033,0.34407,1.55676,1.5248,1.73287,0.00034,0.00034,0.00034
22,15335.5,1.3423,1.34162,1.52979,0.62644,0.65734,0.69535,0.35588,1.52052,1.47023,1.73264,0.000307,0.000307,0.000307
23,15675,1.34743,1.32363,1.53664,0.58476,0.63977,0.66645,0.33186,1.61761,1.46864,1.76062,0.000274,0.000274,0.000274
24,16007.3,1.32237,1.2744,1.51019,0.63712,0.66058,0.71498,0.37054,1.52493,1.42194,1.72737,0.000241,0.000241,0.000241
25,16339.6,1.29916,1.25142,1.48946,0.62685,0.68093,0.68608,0.35283,1.56279,1.4061,1.73987,0.000208,0.000208,0.000208
26,16673.1,1.29037,1.22995,1.48445,0.63362,0.65101,0.71273,0.36731,1.52075,1.37775,1.70815,0.000175,0.000175,0.000175
27,17002.8,1.26697,1.1924,1.4687,0.64848,0.68351,0.72634,0.38686,1.52174,1.34539,1.71715,0.000142,0.000142,0.000142
28,17331.8,1.23786,1.17547,1.45056,0.67579,0.68505,0.7356,0.38697,1.51064,1.34068,1.70546,0.000109,0.000109,0.000109
29,17662.7,1.2332,1.15517,1.45545,0.66843,0.68071,0.7316,0.38735,1.5199,1.33681,1.7067,7.6e-05,7.6e-05,7.6e-05
30,17993.9,1.2304,1.15132,1.45299,0.68001,0.66699,0.73756,0.39448,1.4955,1.35455,1.69391,4.3e-05,4.3e-05,4.3e-05
